Broad discipline,College/School ,Major name,Applicants,Admits,Enrolls,Admit GPA range,Enroll GPA range,Admit rate,Yield rate,
Architecture,School Of The arts & architecture,Architectural studies,216,30,12,3.73 - 3.98,3.67 - 3.93,14%,40%,
Arts & Humanities,College Of Letters & science,American literature & culture,60,31,25,3.28 - 3.77,3.24 - 3.74,52%,81%,
Arts & Humanities,College Of Letters & science,Applied linguistics,30,12,6,3.56 - 3.93,3.74 - 3.93,40%,50%,
Arts & Humanities,College Of Letters & science,Arabic,11,4,3,masked,masked,36%,75%,
Arts & Humanities,College Of Letters & science,Art history,148,70,41,3.58 - 3.86,3.55 - 3.86,47%,59%,
Arts & Humanities,College Of Letters & science,Asian languages and linguistics,34,13,11,3.35 - 3.88,3.30 - 3.88,38%,85%,
Arts & Humanities,College Of Letters & science,Chinese,37,14,7,3.62 - 3.85,3.61 - 3.97,38%,50%,
Arts & Humanities,College Of Letters & science,Comparative literature,71,39,17,3.47 - 3.88,3.40 - 3.84,55%,44%,
Arts & Humanities,College Of Letters & science,English,640,278,170,3.62 - 3.93,3.61 - 3.90,43%,61%,
Arts & Humanities,College Of Letters & science,French,24,13,5,3.54 - 3.94,3.54 - 3.94,54%,38%,
Arts & Humanities,College Of Letters & science,French & linguistics,7,4,4,masked,masked,57%,100%,
Arts & Humanities,College Of Letters & science,Italian,6,3,3,masked,masked,50%,100%,
Arts & Humanities,College Of Letters & science,Japanese,93,47,30,3.43 - 3.81,3.44 - 3.80,51%,64%,
Arts & Humanities,College Of Letters & science,Jewish studies,14,7,5,3.53 - 3.80,3.50 - 3.73,50%,71%,
Arts & Humanities,College Of Letters & science,Korean,24,9,7,3.59 - 3.82,3.51 - 3.83,38%,78%,
Arts & Humanities,College Of Letters & science,Linguistics,157,69,37,3.59 - 3.86,3.52 - 3.86,44%,54%,
Arts & Humanities,College Of Letters & science,Linguistics & anthropology,13,10,6,3.57 - 3.95,3.54 - 3.88,77%,60%,
Arts & Humanities,College Of Letters & science,Linguistics & asian languages & cultures,36,16,13,3.52 - 3.79,3.50 - 3.77,44%,81%,
Arts & Humanities,College Of Letters & science,Linguistics & computer science,60,23,17,3.45 - 3.75,3.43 - 3.74,38%,74%,
Arts & Humanities,College Of Letters & science,Linguistics & philosophy,6,4,3,masked,masked,67%,75%,
