Broad discipline,College/School ,Major name,Applicants,Admits,Enrolls,Admit GPA range,Enroll GPA range,Admit rate,Yield rate,
Arts & Humanities,College Of Humanities & social sci,Art,109,48,7,3.10 - 3.60,3.06 - 3.60,44%,15%,
Arts & Humanities,College Of Humanities & social sci,Art history,35,28,9,2.86 - 3.66,2.82 - 3.07,80%,32%,
Arts & Humanities,College Of Humanities & social sci,Art history/administration studies,37,25,4,2.81 - 3.48,masked,68%,16%,
Arts & Humanities,College Of Humanities & social sci,Creative writing,59,43,20,2.87 - 3.74,2.71 - 3.80,73%,47%,
Arts & Humanities,College Of Humanities & social sci,Dance,25,21,6,2.93 - 3.52,2.90 - 3.44,84%,29%,
Arts & Humanities,College Of Humanities & social sci,English,345,292,87,2.82 - 3.52,2.62 - 3.32,85%,30%,
Arts & Humanities,College Of Humanities & social sci,History,192,155,36,2.79 - 3.51,2.57 - 3.44,81%,23%,
Arts & Humanities,College Of Humanities & social sci,Japanese language & literature,34,33,6,2.94 - 3.48,2.87 - 3.34,97%,18%,
Arts & Humanities,College Of Humanities & social sci,Language,17,15,3,2.98 - 3.63,masked,88%,20%,
Arts & Humanities,College Of Humanities & social sci,Liberal studies,106,80,37,2.79 - 3.43,2.75 - 3.33,75%,46%,
Arts & Humanities,College Of Humanities & social sci,Linguistics,80,65,18,2.95 - 3.55,2.60 - 3.05,81%,28%,
Arts & Humanities,College Of Humanities & social sci,Media and cultural studies,89,77,24,2.84 - 3.63,2.67 - 3.50,87%,31%,
Arts & Humanities,College Of Humanities & social sci,Music,47,31,5,3.02 - 3.54,2.94 - 3.36,66%,16%,
Arts & Humanities,College Of Humanities & social sci,Music & culture,8,8,3,3.00 - 3.19,masked,100%,38%,
Arts & Humanities,College Of Humanities & social sci,Philosophy,131,114,22,2.81 - 3.60,2.60 - 3.27,87%,19%,
Arts & Humanities,College Of Humanities & social sci,Spanish,59,48,9,2.81 - 3.52,2.80 - 3.13,81%,19%,
Arts & Humanities,College Of Humanities & social sci,"Theatre, film and digital production",214,164,36,2.94 - 3.57,2.81 - 3.43,77%,22%,
Business,College Of Humanities & social sci,Business economics,301,234,39,3.00 - 3.66,2.81 - 3.21,78%,17%,
Business,School Of Business administration,Business administration,"1,573","1,136",296,3.02 - 3.64,2.91 - 3.49,72%,26%,
Computer Science,College Of Engineering,Computer science,"1,021",403,100,3.07 - 3.64,2.96 - 3.39,39%,25%,
Computer Science,College Of Engineering,Information sciences,42,22,7,3.06 - 3.55,3.05 - 3.51,52%,32%,
Education,School Of Education,"Education, society, and human development",67,46,14,2.89 - 3.57,2.64 - 3.21,69%,30%,
Engineering,College Of Engineering,Bioengineering,130,75,29,3.06 - 3.51,2.94 - 3.37,58%,39%,
Engineering,College Of Engineering,Chemical engineering,164,100,21,3.06 - 3.63,2.88 - 3.37,61%,21%,
Engineering,College Of Engineering,Computer engineering,177,73,13,3.02 - 3.59,2.89 - 3.53,41%,18%,
Engineering,College Of Engineering,Electrical engineering,273,126,17,3.06 - 3.62,2.85 - 3.27,46%,13%,
Engineering,College Of Engineering,Environmental engineering,54,30,8,2.90 - 3.60,2.96 - 3.37,56%,27%,
