Broad discipline,College/School ,Major name,Applicants,Admits,Enrolls,Admit GPA range,Enroll GPA range,Admit rate,Yield rate,
Arts & Humanities,Information & Computer Sci,Computer game science,100,30,19,3.28 - 3.72,3.28 - 3.71,30%,63%,
Arts & Humanities,School Of Humanities,Art history,88,52,7,3.39 - 3.78,3.09 - 3.46,59%,13%,
Arts & Humanities,School Of Humanities,Comparative literature,73,39,5,3.26 - 3.79,3.11 - 3.18,53%,13%,
Arts & Humanities,School Of Humanities,English,513,270,55,3.33 - 3.76,3.19 - 3.52,53%,20%,
Arts & Humanities,School Of Humanities,Film and media studies,298,167,32,3.28 - 3.71,3.24 - 3.53,56%,19%,
Arts & Humanities,School Of Humanities,History,296,137,31,3.40 - 3.76,3.17 - 3.53,46%,23%,
Arts & Humanities,School Of Humanities,Japanese language & literature,83,45,10,3.41 - 3.68,3.45 - 3.67,54%,22%,
Arts & Humanities,School Of Humanities,Philosophy,226,125,14,3.37 - 3.72,3.22 - 3.45,55%,11%,
Arts & Humanities,School Of Humanities,Religious studies,24,11,3,3.28 - 3.49,masked,46%,27%,
Arts & Humanities,School Of Humanities,Spanish,64,34,7,3.26 - 3.67,3.37 - 3.68,53%,21%,
Arts & Humanities,School Of The arts,Art - studio,151,77,13,3.38 - 3.69,3.30 - 3.58,51%,17%,
Arts & Humanities,School Of The arts,Drama,169,105,44,3.39 - 3.78,3.38 - 3.76,62%,42%,
Arts & Humanities,School Of The arts,Music,58,13,7,3.36 - 3.66,3.36 - 3.65,22%,54%,
Business,School Of Administration,Business administration,"1,918",315,52,3.69 - 3.94,3.52 - 3.83,16%,17%,
Business,School Of Social sciences,Business economics,539,268,49,3.51 - 3.86,3.39 - 3.70,50%,18%,
Computer Science,Information & Computer Sci,Computer science,363,168,65,3.32 - 3.74,3.26 - 3.55,46%,39%,
Computer Science,Information & Computer Sci,Informatics,27,9,4,3.31 - 3.66,masked,33%,44%,
Computer Science,Information & Computer Sci,Information & computer sciences,53,22,9,3.42 - 3.83,3.22 - 3.71,42%,41%,
Engineering,School Of Engineering,Aerospace engineering,121,36,12,3.35 - 3.82,3.30 - 3.53,30%,33%,
Engineering,School Of Engineering,Biomedical engineering,142,65,19,3.38 - 3.81,3.20 - 3.67,46%,29%,
Engineering,School Of Engineering,Biomedical engineering: premed,67,27,5,3.51 - 3.80,3.45 - 3.60,40%,19%,
Engineering,School Of Engineering,Chemical engineering,224,105,27,3.38 - 3.81,3.23 - 3.58,47%,26%,
